STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-14,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-15,,60,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-16,,60,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-17,,60,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-18,,59,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-19,,61,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-20,,59,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-21,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-22,,61,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-23,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-24,,56,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-25,,59,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-26,,61,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-27,,58,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-28,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-29,,57,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-30,,60,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-31,,60,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-01,,70,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-02,,62,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-03,,62,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-04,,66,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-05,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-06,,66,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-07,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-08,,78,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-09,,76,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-10,,66,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-11,,69,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-12,,71,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-13,,65,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-14,,62,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-15,,59,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-16,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-17,,68,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-18,,61,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-19,,65,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-20,,65,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-21,,62,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-22,,59,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-23,,68,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-24,,70,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-25,,69,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-26,,66,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-27,,69,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-28,,67,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-29,,68,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-06-30,,75,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-01,,68,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-02,,66,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-03,,68,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-04,,66,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-05,,69,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-06,,69,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-07,,69,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-08,,65,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-09,,64,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-10,,70,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-11,,69,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-12,,71,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-13,,69,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-14,,66,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-15,,73,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-16,,70,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-17,,68,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-18,,71,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-19,,86,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-20,,72,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-21,,64,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-22,,64,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-23,,66,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-24,,68,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-25,,65,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-26,,66,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-27,,74,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-28,,80,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-29,,70,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-30,,68,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-07-31,,67,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-01,,71,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-02,,70,61
